구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,5221,48.40534979423868,549043,544028,5015,70029,0.9134075108871255,12.75473869988325,0.950927340845799,2522.9723841454515
강동구,1879,191.4191419141914,430522,426219,4303,61710,0.999484346909101,14.333762269988526,0.43644691792753915,480.21476194562365
강북구,1265,124.69135802469135,317875,314090,3785,59808,1.1907196224931182,18.81494298073142,0.39795517105780576,772.193756771193
강서구,1617,229.68036529680367,600240,593708,6532,82937,1.08823137411702,13.817306410769026,0.2693922431027589,1227.383128224299
관악구,3985,223.72093023255815,519953,502117,17836,74518,3.430310047254271,14.331679978767312,0.7664154260096586,1370.1311992095384
광진구,1581,45.1063829787234,368337,352692,15645,47347,4.247469029720066,12.854261179300478,0.4292264963878188,600.4481440439313
구로구,3227,88.6150234741784,439850,406748,33102,64952,7.5257474138911,14.766852336023645,0.733659202000682,841.1195307007224
금천구,1634,1333.3333333333335,252868,233371,19497,37191,7.71034690035908,14.707673568818514,0.6461869433854818,217.3599619664119
노원구,1906,83.16008316008316,539829,535282,4547,79968,0.8423037665631153,14.81357985584324,0.35307476997345455,765.6877972914513
도봉구,858,131.47208121827413,337594,335280,2314,58070,0.6854387222521727,17.20113509126347,0.25415143634069326,1235.5639415167661
동작구,1780,262.60504201680675,410487,397618,12869,61607,3.1350566522204115,15.008270663869988,0.43363127212311225,521.9412363420147
마포구,1935,42.22222222222222,385605,373629,11976,51961,3.1057688567316295,13.475188340400152,0.5018088458396546,295.8117197925267
서대문구,2121,99.29203539823008,324089,310069,14020,51708,4.325972186652431,15.954876592540938,0.6544498579094015,66.0424454698441
서초구,2835,38.6518771331058,435258,431027,4231,56455,0.9720671417871699,12.970468090190185,0.651337827219718,462.2465598782501
성동구,2679,49.32330827067669,311290,303158,8132,43662,2.612355038709885,14.026149249895594,0.8606122907899386,660.6306088938813
성북구,3003,80.74454428754814,454114,441590,12524,70204,2.7578977965885216,15.459554208855044,0.66128769427941,576.3434104506659
송파구,1586,34.66666666666667,684338,677489,6849,86062,1.0008212316136178,12.575949311597483,0.23175682192133126,1498.7918607529882
양천구,2775,66.70984455958549,463931,459849,4082,60487,0.8798722223778968,13.03793020944925,0.5981492937527348,320.2798117059383
영등포구,2495,412.1212121212121,402478,368402,34076,57350,8.46654972445699,14.249226044653373,0.619909659658416,215.95388053142187
용산구,2063,35.96559812353401,244989,228830,16159,38531,6.595806342325574,15.72764491466964,0.8420786239382176,234.1635273388456
은평구,2962,38.46153846153847,486159,481663,4496,79957,0.9248003225282263,16.44667691022896,0.609265692911167,443.73721489450736
종로구,1471,9225.0,162860,151767,11093,27394,6.81137173032052,16.820582095050966,0.9032297678988088,123.05646845357842
중구,1544,1436.0,136663,126409,10254,23025,7.503128132705999,16.84801299547061,1.1297864089036536,24.832203881721625
